m,n,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,2,3,4,5
1,1,0.8,0.75,0.7,0.65,0.65,0.6,0.6,0.6,0.6,0.55,0.55,0.55,0.55,0.55
2,2,0.5,0.45,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.45,0.45,0.45,0.45,0.5
2,1,1,0.85,0.75,0.7,0.7,0.65,0.65,0.65,0.6,0.6,0.55,0.55,0.55,0.55
3,3,0.25,0.25,0.25,0.3,0.3,0.35,0.35,0.35,0.4,0.4,0.45,0.45,0.45,0.45
3,2,0.6,0.6,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.45,0.5,0.5,0.5,0.5
3,1,1.15,0.9,0.8,0.75,0.75,0.7,0.7,0.65,0.65,0.65,0.6,0.55,0.55,0.55
4,4,0.1,0.15,0.2,0.25,0.3,0.3,0.35,0.35,0.35,0.4,0.45,0.45,0.45,0.45
4,3,0.35,0.35,0.35,0.4,0.4,0.4,0.4,0.45,0.45,0.45,0.45,0.5,0.5,0.5
4,2,0.7,0.6,0.55,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
4,1,1.2,0.95,0.85,0.8,0.75,0.7,0.7,0.7,0.65,0.65,0.55,0.55,0.55,0.55
5,5,-0.05,0.1,0.2,0.25,0.3,0.3,0.35,0.36,0.35,0.35,0.4,0.45,0.45,0.45
5,4,0.2,0.25,0.35,0.35,0.4,0.4,0.4,0.4,0.4,0.45,0.45,0.5,0.5,0.5
5,3,0.45,0.4,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.5,0.5,0.5,0.5
5,2,0.75,0.6,0.55,0.55,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
5,1,1.3,1,0.85,0.8,0.75,0.7,0.7,0.65,0.65,0.65,0.6,0.55,0.55,0.55
6,6,-0.15,0.05,0.15,0.2,0.25,0.3,0.3,0.35,0.35,0.35,0.4,0.45,0.45,0.45
6,5,0.1,0.25,0.3,0.35,0.35,0.4,0.4,0.4,0.45,0.45,0.45,0.5,0.5,0.5
6,4,0.3,0.35,0.4,0.4,0.45,0.45,0.45,0.45,0.45,0.45,0.5,0.5,0.5,0.5
6,3,0.5,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.5,0.5,0.5,0.5,0.5
6,2,0.8,0.65,0.55,0.55,0.55,0.55,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
6,1,1.3,1,0.85,0.8,0.75,0.7,0.7,0.65,0.65,0.65,0.6,0.55,0.55,0.55
7,7,-0.2,0.05,0.15,0.2,0.5,0.3,0.3,0.35,0.35,0.35,0.45,0.45,0.45,0.45
7,6,0.05,0.3,0.3,0.35,0.35,0.4,0.4,0.4,0.4,0.45,0.45,0.5,0.5,0.5
7,5,0.2,0.3,0.35,0.4,0.4,0.45,0.45,0.45,0.45,0.45,0.5,0.5,0.5,0.5
7,4,0.35,0.4,0.4,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.5,0.5,0.5,0.5
7,3,0.55,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
7,2,0.8,0.65,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
7,1,1.3,1,0.9,0.8,0.75,0.7,0.7,0.7,0.65,0.65,0.6,0.55,0.55,0.55
8,8,-0.2,0.05,0.15,0.2,0.25,0.3,0.3,0.35,0.35,0.35,0.45,0.45,0.45,0.45
8,7,0,0.2,0.3,0.35,0.35,0.4,0.4,0.4,0.4,0.45,0.45,0.5,0.5,0.5
8,6,0.15,0.3,0.35,0.4,0.4,0.45,0.45,0.45,0.45,0.45,0.5,0.5,0.5,0.5
8,5,0.3,0.45,0.4,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.5,0.5,0.5,0.5
8,4,0.4,0.45,0.45,0.45,0.45,0.45,0.45,0.5,0.5,0.5,0.5,0.5,0.5,0.5
8,3,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
8,2,0.85,0.65,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
8,1,1.3,1,0.9,0.8,0.75,0.7,0.7,0.7,0.65,0.65,0.6,0.55,0.55,0.55
9,9,-0.25,0,0.15,0.2,0.25,0.3,0.3,0.35,0.35,0.4,0.45,0.45,0.45,0.45
9,8,0,0.2,0.3,0.35,0.35,0.4,0.4,0.4,0.4,0.45,0.45,0.45,0.45,0.45
9,7,0.15,0.3,0.35,0.4,0.4,0.45,0.45,0.45,0.45,0.45,0.5,0.5,0.5,0.5
